".InternetGatewayDevice.","IGD",,,"object","-","R","V",,"The top-level object for an Internet Gateway Device."
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusClient.Accounting.Server.{i}.IP",,,,"ipv4","O","O",,"rad_srv",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusClient.Accounting.Server.{i}.Port",,,,"unsignedInt","O","O",,"rad_srv",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusClient.Accounting.Server.{i}.RadiusSecret",,,,"string","O","O",,"rad_srv",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusClient.Accounting.Server.{i}.Stats.","Stats",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusClient.Accounting.Server.{i}.Stats.Requests",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusClient.Accounting.Server.{i}.Stats.Retransmissions",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusClient.Accounting.Server.{i}.Stats.Responses",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusClient.Accounting.Server.{i}.Stats.MalformedResponses",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusClient.Accounting.Server.{i}.Stats.BadAuthenticators",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusClient.Accounting.Server.{i}.Stats.PendingRequests",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusClient.Accounting.Server.{i}.Stats.Timeouts",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusClient.Accounting.Server.{i}.Stats.UnknownTypes",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusClient.Accounting.Server.{i}.Stats.PacketsDropped",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusClient.Accounting.Stats.","Stats",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusClient.Accounting.Stats.InvalidServerAddresses",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.","RS",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.","Auth",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.ClientNumberOfEntries",,"count(Client)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Client.","Clnt",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Client.{i}.",,,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Client.{i}.RadiusClientId",,,,"string","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Client.{i}.Description",,,,"string","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Client.{i}.Prefix",,,,"ipv4","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Client.{i}.PrefixLen",,,,"unsignedInt [0:32]","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Client.{i}.RadiusSecret",,,,"string","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Client.{i}.RadiusPasswordEncoding",,,,"enum(RFC,TPOSS)","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Client.{i}.Stats.","Stats",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Client.{i}.Stats.AccessRequests",,,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Client.{i}.Stats.DupAccessRequests",,,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Client.{i}.Stats.AccessAccepts",,,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Client.{i}.Stats.AccessRejects",,,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Client.{i}.Stats.AccessChallenges",,,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Client.{i}.Stats.MalformedRequests",,,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Client.{i}.Stats.BadAuthenticators",,,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Client.{i}.Stats.PacketsDropped",,,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Client.{i}.Stats.UnknownTypes",,,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Stats.","Stats",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Stats.AccessRequests",,,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Stats.InvalidRequests",,,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Stats.DupAccessRequests",,,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Stats.AccessAccepts",,,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Stats.AccessRejects",,,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Stats.AccessChallenges",,,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Stats.MalformedRequests",,,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Stats.BadAuthenticators",,,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Stats.PacketsDropped",,,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Authentication.Stats.UnknownTypes",,,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.","Acct",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.ClientNumberOfEntries",,"count(Client)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Client.","Clnt",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Client.{i}.",,,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Client.{i}.RadiusClientId",,,,"string","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Client.{i}.Description",,,,"string","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Client.{i}.Prefix",,,,"ipv4","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Client.{i}.PrefixLen",,,,"unsignedInt [0:32]","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Client.{i}.RadiusSecret",,,,"string","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Client.{i}.Stats.","Stats",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Client.{i}.Stats.PacketsDropped",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Client.{i}.Stats.Requests",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Client.{i}.Stats.DupRequests",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Client.{i}.Stats.Responses",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Client.{i}.Stats.BadAuthenticators",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Client.{i}.Stats.MalformedRequests",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Client.{i}.Stats.NoRecords",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Client.{i}.Stats.UnknownTypes",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Stats.","Stats",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Stats.Requests",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Stats.InvalidRequests",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Stats.DupRequests",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Stats.Responses",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Stats.MalformedRequests",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Stats.BadAuthenticators",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Stats.PacketsDropped",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Stats.NoRecords",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.RadiusServer.Accounting.Stats.UnknownTypes",,1,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.MonitoringTargetNumberOfEntries",,"count(MonitoringTarget)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.MonitoringTarget.","MonTarget",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.MonitoringTarget.{i}.",,0,1,"object[:256]",,,"   M",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.MonitoringTarget.{i}.MonitoringTargetId",,,,"string(32)","O","O"," u",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.MonitoringTarget.{i}.Enabled",,0,1,"boolean","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.MonitoringTarget.{i}.RemoteHost",,,,"string[256]","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.MonitoringTarget.{i}.RemotePort",,,,"unsignedInt [0:65535]","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.MonitoringTarget.{i}.Protocol",,,,"enum(RAW,JMirror,PCap,PCapStream,PCapNG)","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.MonitoringTarget.{i}.Transport",,,,"enum(TCP,UDP)","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.MonitorNumberOfEntries",,"count(Monitor)",,"unsignedInt","-","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Monitor.","Mon",,,"object",,,"S"
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Monitor.{i}.",,,,"object",,,"S"
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Monitor.{i}.MonitorId",,,,"unsignedInt","-","O","S",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Monitor.{i}.Type",,,,"enum(RADIUS,Manual)","-","O","S",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Monitor.{i}.Client",,,,"selector","-","O","Su",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Monitor.{i}.Target",,,,"selector","-","O","S",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.NATPoolNumberOfEntries",,"count(NATPool)",,"unsignedInt","O","O",,"nat_pool",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.NATPool.","NP",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.NATPool.{i}.",,,,"object",,,,"nat_pool",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.NATPool.{i}.NatPoolId",,,,"string(32)","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.NATPool.{i}.X_DM_PoolInfo",,,,"pointer","O","O","i",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.NATPool.{i}.Enabled",,,,"boolean","O","O",,"nat_pool",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.NATPool.{i}.Translation",,,,"enum(SymetricAddressKeyed,AddressKeyed,PortKeyed,Random,RandomPersistent,Masquerade)","O","O",,"nat_pool",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.NATPool.{i}.WANDevice",,,,"selector","O","O",,"nat_pool",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.NATPool.{i}.MinAddress",,,,"ipv4","O","O",,"nat_pool",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.NATPool.{i}.MaxAddress",,,,"ipv4","O","O",,"nat_pool",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.NATPool.{i}.MinPort",,,,"unsignedInt[1024:65535]","O","O",,"nat_pool",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.NATPool.{i}.MaxPort",,,,"unsignedInt[1024:65535]","O","O",,"nat_pool",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.NATPool.{i}.PortKeyLen",,,,"unsignedInt","O","O",,"nat_pool",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.ZoneNumberOfEntries",,"count(Zone)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.",,,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.",,0,1,"object[:16]",,,"   M","zone",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.X_DM_ZoneInfo",,,,"pointer","O","O","i",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Enabled",,,,"boolean","O","O",,"zone",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.ZoneId",,,,"string(32)","O","O",,"proxy",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Description",,,,"string","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.LANDevice",,,,"selector","O","O"," u","firewall",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.KnownAccessClass",,,,"selector","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.OnlineAccessClass",,,,"selector","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.UnknownAccessClass",,,,"selector","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.DefaultLocationId",,,,"string","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.WISPrSmartClientNextURL",,,,"string","O","O",,"proxy",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.NATPool",,,,"selector","O","O",,"firewall",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.SessionTimeAccounting",,,,"enum(WISPrCompliant,StartStop)","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.",,,,"object","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.LocationId",,,,"string","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.NASIdentifier",,,,"string","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.TPOSSSecret",,,,"string","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.X_DM_AuthServerServerStruct",,,,"pointer","O","O","i",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.X_DM_AcctServerServerStruct",,,,"pointer","O","O","i",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.AuthServerNumberOfEntries",,"count(AuthServer)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.AuthServer.",,,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.AuthServer.{i}.",,,,"object",,,,"zone_rad_srv",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.AuthServer.{i}.Server",,,,"selector","O","O",,"zone_rad_srv",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.AcctServerNumberOfEntries",,"count(AcctServer)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.AcctServer.",,,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.AcctServer.{i}.",,,,"object",,,,"zone_rad_srv",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.AcctServer.{i}.Server",,,,"selector","O","O",,"zone_rad_srv",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.AuthClientNumberOfEntries",,"count(AuthClient)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.AuthClient.",,,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.AuthClient.{i}.",,,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.AuthClient.{i}.Client",,,,"selector","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.AcctClientNumberOfEntries",,"count(AcctClient)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.AcctClient.",,,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.AcctClient.{i}.",,,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Radius.AcctClient.{i}.Client",,,,"selector","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Portal.",,,,"object","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Portal.Prefix",,,,"ipv4","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Portal.PrefixLen",,,,"unsignedInt [0:32]","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Accounting.","Acc",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Accounting.SubNetsNumberOfEntries",,"count(SubNets)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Accounting.SubNets.","SN",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Accounting.SubNets.{i}.",,,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Accounting.SubNets.{i}.Enabled",,,,"boolean","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Accounting.SubNets.{i}.Description",,,,"string","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Accounting.SubNets.{i}.Network",,,,"ipv4","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Accounting.SubNets.{i}.PrefixLen",,,,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.","ACs",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClassNumberOfEntries",,"count(AccessClass)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.","AC",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.",,0,1,"object[:512]",,,"   M","scg_class",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.Enabled",,,,"boolean","O","O",,"scg_class",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.Description",,,,"string","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.AccessClassId",,,,"string(32)","O","O"," u",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.AccountingEnabled",,,,"boolean","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.AuthenticationRequired",,,,"boolean","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.AuthorizationRequired",,,,"boolean","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.InterimUpdateInterval",,,,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.SignOfLifeEnabled",,,,"boolean","O","O",,"firewall",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.SessionTimeout",,,,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.IdleTimeout",,,,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.ExitAccessClass",,,,"selector","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.ExitRequestAccessClass",,,,"selector","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.IdleTimeoutRequestAccessClass",,,,"selector","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.QoSPolicy",,,,"string","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.ForwardingPolicy",,,,"int[-1:]","O","O",,"l3policy",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.NATPool",,,,"selector","O","O",,"firewall",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.Stats.","Stats",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.Stats.Clients",,,,"unsignedInt","-","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.AccessControllListsNumberOfEntries",,"count(AccessControllLists)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.AccessControllLists.",,,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.AccessControllLists.{i}.",,,,"object",,,,"firewall",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.AccessControllLists.{i}.AccessControllList",,,,"selector","O","O",,"firewall",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.AccessRuleNumberOfEntries",,"count(AccessRule)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.AccessRule.","ACR",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.AccessRule.{i}.",,,,"object[:8192]",,,"   M",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.AccessRule.{i}.ACRId",,,,"string(32)","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.AccessRule.{i}.From",,,,"string(32)","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.AccessRule.{i}.To",,,,"string(32)","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessClass.{i}.AccessRule.{i}.Policy","ACGPol",,,"enum(Accept,Deny)","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessGroupNumberOfEntries",,"count(AccessGroup)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessGroup.","ACG",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessGroup.{i}.",,,,"object[:8192]",,,"   M",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessGroup.{i}.ACGId",,,,"string(32)","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessGroup.{i}.Description",,,,"string","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessGroup.{i}.IP.",,,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessGroup.{i}.IP.IPNumberOfEntries",,"count(IP)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessGroup.{i}.IP.IP.",,,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessGroup.{i}.IP.IP.{i}.",,,,"object",,,,,
